stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
tipuSultanChowk,,Tipu Sultan Chowk Stop,,33.8207797,72.6798225,,,0,,,1
topCity,,Top City Stop,,33.5846663,72.8614001,,,0,,,1
dhuma,,Dhuma Stop,,33.5985167,72.8442206,,,0,,,1
pechs,,PECHS Stop,,33.5960971,72.8334017,,,0,,,1
mohriPatak,,Mohri Patak Stop,,33.5953442,72.8232753,,,0,,,1
dhokeMiskeen,,Dhoke Miskeen Stop,,33.596227,72.8153447,,,0,,,1
gracelandHousingSociety,,Graceland Housing Society Stop,,33.5977221,72.7858828,,,0,,,1
mangial,,Mangial Stop,,33.599399,72.781226,,,0,,,1
doiyan,,Doiyan Stop,,33.598896,72.7702848,,,0,,,1
qutbal,,Qutbal Stop,,33.5986692,72.7595974,,,0,,,1
banguChowk,,Bangu Chowk Stop,,33.598245,72.750035,,,0,,,1
hattar,,Hattar Stop,,33.595284,72.725881,,,0,,,1
hattarChoki,,Hattar Choki Stop,,33.5942086,72.6993989,,,0,,,1
garhiHasuKhan,,Garhi Hasu Khan Stop,,33.5899982,72.6855373,,,0,,,1
theAveneu03,,The Aveneu 03 Stop,,33.590218,72.666763,,,0,,,1
akramCity,,Akram City Stop,,33.580677,72.656826,,,0,,,1
civilCityRoad,,Civil City Road Stop,,33.5748857,72.6500302,,,0,,,1
fatehJang,,Fateh Jang Stop,,33.5700948,72.6474806,,,0,,,1
satraMeel,,Satra Meel Stop,,33.7635534,73.2193527,,,0,,,1
alwadiColony,,Alwadi Colony Stop,,33.7620734,73.2186976,,,0,,,1
punjabCollege,,Punjab College Stop,,33.7604866,73.2172209,,,0,,,1
dhokBadam,,Dhok Badam Stop,,33.7587617,73.2154584,,,0,,,1
phulgran,,Phulgran Stop,,33.7575898,73.212779,,,0,,,1
akbarNiazi,,Akbar Niazi Stop,,33.7562992,73.2096774,,,0,,,1
imtiazMart,,Imtiaz Mart Stop,,33.7476513,73.1931903,,,0,,,1
bheraPul,,Bhera Pul Stop,,33.7449987,73.1890995,,,0,,,1
ghugi,,Ghugi Stop,,33.7430308,73.1850729,,,0,,,1
athalChowk,,Athal Chowk Stop,,33.7389887,73.1781742,,,0,,,1
colAmmanullahRoad,,Col. Ammanullah Road Stop,,33.7372763,73.1751329,,,0,,,1
paghStop,,Pagh Stop,,33.5856446,73.1464227,,,0,,,1
pwdHousingSociety,,PWD Housing society Stop,,33.5763915,73.1533772,,,0,,,1
sohanGardenEBlock,,Soan garden E block Stop,,33.5680895,73.1596328,,,0,,,1
sohanGardenGBlock,,Soan garden G block Stop,,33.5615791,73.1644677,,,0,,,1
sohanGardenHBlock,,Soan garden H block Stop,,33.5571957,73.1677691,,,0,,,1
riverGarden,,River Garden Stop,,33.5504876,73.1728737,,,0,,,1
kaakPul,,Kaak Pul Stop,,33.5431956,73.1781213,,,0,,,1
dhaGate8,,DHA Gate 8 Stop,,33.5388587,73.1807901,,,0,,,1
dhaGate7,,DHA Gate 7 Stop,,33.5332727,73.1813268,,,0,,,1
suparco,,Suparco Stop,,33.5186967,73.1793485,,,0,,,1
tChowk,,T Chowk Stop,,33.514729,73.178805,,,0,,,1
aariSyedan,,Aari Syedan Stop,,33.5730144,73.280849,,,0,,,1
heer,,Her Do Gher Stop,,33.5625384,73.2412784,,,0,,,1
sihala,,Sihala Stop,,33.5512688,73.2056301,,,0,,,1
korangTown,,Korang Town Stop,,33.5829476,73.1484366,,,0,,,1
pakistanTown,,Pakistan Town Stop,,33.5777249,73.1523738,,,0,,,1
